questionText,optionA,optionB,optionC,optionD,correctAnswer,questionLevel,images
Which of the following compounds is the simplest alkane?,Methane,Ethane,Propane,Butane,A,Easy,
Which of the following is an example of an unsaturated hydrocarbon?,Ethene,Ethane,Methane,Propane,A,Easy,
What is the IUPAC name of CH3CH2OH?,Methanol,Ethanol,Propanol,Butanol,B,Easy,
Which functional group is present in aldehydes?,-COOH,-CHO,-OH,-COO-,B,Easy,
Which compound is an example of a ketone?,Ethanal,Propanone,Methanoic acid,Butanol,B,Easy,
Which of the following compounds undergoes substitution reactions?,Alkanes,Alkenes,Alkynes,Aromatics,A,Medium,
What is the general formula of alkenes?,CnH2n+2,CnH2n,CnH2n-2,CnH2n+1,C,Easy,
What is the product of complete combustion of hydrocarbons?,CO and H2,CO2 and H2O,CH4 and CO,CO and O2,B,Easy,
Which of the following has sp hybridization?,Ethane,Ethene,Ethyne,Benzene,C,Medium,
What is the IUPAC name of CH3COOH?,Methanoic acid,Ethanoic acid,Propanal,Acetone,B,Easy,
Which compound is an aromatic hydrocarbon?,Benzene,Cyclohexane,Ethene,Propane,A,Easy,
Which reaction converts alkenes to alkanes?,Hydration,Hydrogenation,Dehydrogenation,Halogenation,B,Easy,
What is the product when ethanol reacts with sodium metal?,Sodium ethoxide and hydrogen,Ethane and hydrogen,Ethene and sodium hydroxide,Ethanol only,A,Medium,
Which compound gives a positive Tollensâ€™ test?,Ketone,Aldehyde,Carboxylic acid,Alcohol,B,Medium,
Which reagent is used to convert alcohol to aldehyde?,LiAlH4,K2Cr2O7,H2,PbO,B,Medium,
Which of the following is an example of a secondary alcohol?,Propan-2-ol,Ethanol,Methanol,Butan-1-ol,A,Medium,
What type of reaction is esterification?,Addition,Substitution,Condensation,Elimination,C,Medium,
Which of the following compounds is most acidic?,Phenol,Ethanol,Benzene,Acetone,A,Medium,
What is the product of oxidation of ethanol?,Ethanoic acid,Ethene,Methane,Acetone,A,Medium,
Which reagent decolorizes bromine water?,Ethane,Ethene,Benzene,Methane,B,Easy,
Which of the following contains both double and triple bonds?,1,3-butadiene,Propyne,Allene,Cyclohexene,C,Medium,
Which compound is obtained by chlorination of methane?,Chloromethane,Chloroethene,Chloroethyne,Chloroform,A,Easy,
Which compound does not undergo polymerization?,Ethene,Propene,Benzene,Butadiene,C,Medium,
Which compound has the lowest boiling point?,Methane,Ethane,Propane,Butane,A,Easy,
What is the hybridization of carbon in benzene?,sp,sp2,sp3,sp3d,B,Medium,
